Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Square Footage,Square Footage Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Phone,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
Cherry Hill Health and Racquet Club,https://chhrc.com/,Cherry Hill,NJ,Racquet / Tennis Club,pickleball; tennis; basketball; racquetball; padel,Indoor,3,"Fitness Center (circuit training machines, free weights, kettlebells, & cardio equipment) Three Racquetball Courts that can be reserved a week in advanced on app & portal, interclub play available Locker",,,,,,(856) 429-1388,,,,,,,,,chhrc.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://chhrc.com/ | https://chhrc.com/about-cherry-hill/ | https://chhrc.com/gym-memberships/ | https://chhrc.com/about-cherry-hill/rules-and-regulations/ | https://chhrc.com/about-cherry-hill/careers-cherry-hill/ | https://chhrc.com/contact-cherry-hill/ | https://chhrc.com/fitness/training/personal-training/cherry-hill-personal-trainers/,Playwright,https://chhrc.com,https://chhrc.com/,
Chester Tennis Club,https://www.chestertennisclub.com/,Chester,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,Eric,Globerman,Owner,(908) 879-5231,,,eric@chestertennisclub.com,eric.globerman@chestertennisclub.com,ericgloberman@chestertennisclub.com,egloberman@chestertennisclub.com,e.globerman@chestertennisclub.com,ericg@chestertennisclub.com,chestertennisclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.chestertennisclub.com/ | https://www.chestertennisclub.com/junior-program-descriptions | https://www.chestertennisclub.com/meet-the-pros,Playwright,https://chestertennisclub.com,https://www.chestertennisclub.com/,
Claim Your Free Day Pass,https://xcel.fit/,Fairfield,NJ,Health Club,basketball,Indoor,,,,,,,,,desk@xcel.fit,,,,,,,,xcel.fit,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://xcel.fit/,Playwright,https://xcel.fit,https://xcel.fit/,
Clifton Junior Athletic League,https://www.cliftonbaseball.org/,Clifton,NJ,Fieldhouse,tennis; basketball,Indoor,,,,,,,,,cliftonjuniorathleticleague@gmail.com,,,,,,,,cliftonbaseball.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.cliftonbaseball.org/ | https://www.cliftonbaseball.org/facilities,Playwright,https://cliftonbaseball.org,https://www.cliftonbaseball.org/,
Company Picnic Venue in New Jersey,https://www.frogbridgeevents.com/,Millstone Township,NJ,School,tennis; basketball; volleyball,Indoor,,,,,,,,(609) 208-9475,,info@frogbridgeevents.com,,,,,,,frogbridgeevents.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.frogbridgeevents.com/ | https://www.frogbridgeevents.com/about/ | https://www.frogbridgeevents.com/about/gallery | https://www.frogbridgeevents.com/event-planning-central-nj/facility | https://www.frogbridgeevents.com/event-planning-central-nj/facility/swimming-lakefront | https://www.frogbridgeevents.com/event-planning-central-nj/facility/sports | https://www.frogbridgeevents.com/event-planning-central-nj/facility/map,Playwright,https://frogbridgeevents.com,https://www.frogbridgeevents.com/,
Conference and Event Services,https://ces.tcnj.edu/,Ewing,NJ,College / University,tennis; basketball; volleyball; racquetball,Indoor,,,,,External,Events,Manager,(609) 771-2361,eventservices@tcnj.edu,,,,,,,,tcnj.edu,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://ces.tcnj.edu/ | https://ces.tcnj.edu/about/ | https://ces.tcnj.edu/plan-an-event/visiting-groups/summer-residential-programs/ | https://ces.tcnj.edu/contact/,Playwright,https://ces.tcnj.edu,https://ces.tcnj.edu/,
CORE Volleyball,https://www.corevball.com/,Hillsborough,NJ,College / University,volleyball,Indoor,,,,,,,,(908) 829-3490,corevball@gmail.com,info@corevball.com,,,,,,,corevball.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.corevball.com/ | https://www.corevball.com/programs | https://www.corevball.com/page/show/3530229-about-us | https://www.corevball.com/page/show/3530231-contact,Playwright,https://corevball.com,https://www.corevball.com/,
Country Club List,https://www.countryclublist.com/,,NJ,Country Club,tennis,Indoor,,,,,,,,,,,,,,,,,countryclublist.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.countryclublist.com/ | https://www.countryclublist.com/about | https://www.countryclublist.com/contact,Playwright,https://countryclublist.com,https://www.countryclublist.com/,
Courtside Racquet Club,https://www.courtsideracquet.com/,Lebanon,NJ,Racquet / Tennis Club,pickleball; tennis,Indoor,6,"n Route 31 in Lebanon, NJ the Courtside Racquet Club is a top class facility which boasts 6 indoor tennis courts and a swimming pool. COURTSIDE TENNIS MEMBERSHIP Courtside Racquet Club features 6 climat",,,,,,(908) 713-1144,,info@courtsideracquet.com,,,,,,,courtsideracquet.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.courtsideracquet.com/ | https://www.courtsideracquet.com/programs/ | https://www.courtsideracquet.com/membership/ | https://www.courtsideracquet.com/adult-programs-signup/ | https://www.courtsideracquet.com/junior-programs-signup/,Playwright,https://courtsideracquet.com,https://www.courtsideracquet.com/,
Crestmont Indoor Tennis,https://crestmontindoortennis.com/,West Orange,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,,,,(973) 533-8404,,,,,,,,,crestmontindoortennis.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://crestmontindoortennis.com/ | https://crestmontindoortennis.com/court-time/ | https://crestmontindoortennis.com/programs-and-lessons/ | https://crestmontindoortennis.com/junior-program/ | https://crestmontindoortennis.com/junior-high-performance-program/ | https://crestmontindoortennis.com/adult-program/,Playwright,https://crestmontindoortennis.com,https://crestmontindoortennis.com/,
CS Tennis Academy,https://www.cstennisacademynj.com/,Fort Lee,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,,,,(201) 407-8994,tennisboom@hotmail.com,,,,,,,,cstennisacademynj.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.cstennisacademynj.com/ | https://www.cstennisacademynj.com/facility | https://www.cstennisacademynj.com/programs | https://www.cstennisacademynj.com/new-page | https://www.cstennisacademynj.com/contact-us,Playwright,https://cstennisacademynj.com,https://www.cstennisacademynj.com/,
Delbarton School,https://www.delbarton.org/,Morristown,NJ,College / University,tennis; squash,Indoor,,,32000,"Leadership, and Faith The Pizzo Family Field House | Excellence, Leadership, and Faith c. 32,000 sq ft field house building (2 story building with fully excavated basement level) · New parking",,,,(973) 538-3231,,info@delbarton.org,,,,,,,delbarton.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.delbarton.org/ | https://www.delbarton.org/integration/saml/spLogin.cfm | https://www.delbarton.org/about-us | https://www.delbarton.org/about-us/we-are-called-to-excellence | https://www.delbarton.org/about-us/mission-and-beliefs | https://www.delbarton.org/about-us/our-grounds-and-facilities | https://www.delbarton.org/about-us/explore-delbarton,Playwright,https://delbarton.org,https://www.delbarton.org/,
Down Town Sports,https://www.downtownsportsclub.com/,Mahwah,NJ,College / University,pickleball; basketball; volleyball; futsal,Indoor,6,"sey (only a few miles from ... Join us to learn, train and play pickleball! We have up to 6 pickleball courts at our air conditioned facility. Six courts are on our premier hardwood ...",6000,"ew Jersey (only a few miles from down town Wyckoff). The air-conditioned building has two 6,000 square feet hardwood regulation basketball courts fully equipped with the latest Spalding equipment a",,,,(201) 851-1707,,,,,,,,,downtownsportsclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.downtownsportsclub.com/ | https://www.downtownsportsclub.com/rentals/ | https://www.downtownsportsclub.com/coaching-staff/ | https://www.downtownsportsclub.com/pickleball/pickleball-pricing/ | https://www.downtownsportsclub.com/coach-jehiah-cook-joins-the-down-town-sports-club-training-staff/ | https://www.downtownsportsclub.com/contact/,Playwright,https://downtownsportsclub.com,https://www.downtownsportsclub.com/,
Edge Hoboken,https://edgehoboken.com/,Hoboken,NJ,School,basketball,Indoor,,,,,,,,(201) 809-3491,studentservices@edgehoboken.com,,,,,,,,edgehoboken.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://edgehoboken.com/ | https://edgehoboken.com/programs/youth/ | https://edgehoboken.com/programs/high-school/ | https://edgehoboken.com/programs/adults/ | https://edgehoboken.com/coaches/,Playwright,https://edgehoboken.com,https://edgehoboken.com/,
Edgewood Country Club,https://www.edgewoodnj.com/,River Vale,NJ,Country Club,pickleball; tennis,Indoor,,,,,Jordi,Salva,Director of Racquets,(201) 666-1200,,,jordi@edgewoodnj.com,jordi.salva@edgewoodnj.com,jordisalva@edgewoodnj.com,jsalva@edgewoodnj.com,j.salva@edgewoodnj.com,jordis@edgewoodnj.com,edgewoodnj.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.edgewoodnj.com/ | https://www.edgewoodnj.com/membership | https://www.edgewoodnj.com/about | https://www.edgewoodnj.com/about/careers,Playwright,https://edgewoodnj.com,https://www.edgewoodnj.com/,
Elite Fitness Club,https://www.elitefitnessclub.fit/,Rutherford,NJ,Health Club,basketball,Indoor,70,"1 Klarides Village Dr, Seymour, Connecticut 06483 63 Meadow Rd, Rutherford, New Jersey 07070 Basketball Court Seymour CT - Elite Fitness Club Elite Fitness Club – Gym & Classes in Rutherford NJ, Unio",,,,,,,,,,,,,,,elitefitnessclub.fit,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.elitefitnessclub.fit/ | https://www.elitefitnessclub.fit/memberships | https://www.elitefitnessclub.fit/elite-basketball-court,Playwright,https://elitefitnessclub.fit,https://www.elitefitnessclub.fit/,
Empire Sports & Training,https://www.empiresportstraining.com/,Lyndhurst,NJ,Unknown,basketball,Indoor,,,,,,,,(201) 425-9968,,,,,,,,,empiresportstraining.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.empiresportstraining.com/ | https://www.empiresportstraining.com/programs | https://www.empiresportstraining.com/contact-4 | https://www.empiresportstraining.com/contact,Playwright,https://empiresportstraining.com,https://www.empiresportstraining.com/,
Essex County's Local Source,https://essexnewsdaily.com/,Bloomfield,NJ,Unknown,basketball,Indoor,,,,,,,,,ads@thelocalsource.com,,,,,,,,thelocalsource.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://essexnewsdaily.com/ | https://essexnewsdaily.com/obituaries/marc-f-toussaint/ | https://essexnewsdaily.com/obituaries/mario-farinella/ | https://essexnewsdaily.com/obituaries/susan-giaimo | https://essexnewsdaily.com/sports/sports-bloomfield/bhs-girls-soccer-team-wins-west-essex-league-title-this-summer/ | https://essexnewsdaily.com/sports/sports-eastorange/east-oranges-sekou-kromah-signs-with-rutgers-football/ | https://essexnewsdaily.com/sports/sports-westorange/former-seton-hall-prep-lacrosse-players-to-play-for-united-states-team-in-pan-am-games/,Playwright,https://essexnewsdaily.com,https://essexnewsdaily.com/,
FC Copa Academy,https://www.fccopa.com/,Hillsborough,NJ,College / University,futsal,Indoor,,,,,Roberto,Aguas,President,(732) 662-5202,roberto.aguas@fccopa.com,info@fccopa.com,,,,,,,fccopa.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.fccopa.com/ | https://www.fccopa.com/contact-us | https://www.fccopa.com/staff | https://www.fccopa.com/about | https://www.fccopa.com/usl-staff | https://www.fccopa.com/uslw-staff | https://www.fccopa.com/programs,Playwright,https://fccopa.com,https://www.fccopa.com/,
FFC Fitness & Pickleball Club,https://www.fountainfitnesscenter.com/,Ramsey,NJ,Pickleball Club,pickleball; tennis,Indoor,5,"Ramsey, NJ | FFC Ramsey, NJ's newest fitness & pickleball center featuring an indoor gym, five pickleball courts, swimming pool, locker rooms and more! Ramsey, NJ's newest fitness & pickleball center fe",,,,,,(201) 282-5225,theswimstationllc@gmail.com,,,,,,,,fountainfitnesscenter.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.fountainfitnesscenter.com/ | https://www.fountainfitnesscenter.com/memberships/ | https://www.fountainfitnesscenter.com/new-pickleball-courts/ | https://www.fountainfitnesscenter.com/swim-lessons/,Playwright,https://fountainfitnesscenter.com,https://www.fountainfitnesscenter.com/,
"Florham Park Sports Dome & Event Center in Alabama, United States",https://florham-park-sports-dome-event-center.sportsgrounds.us.com/,Livingston,NJ,Private Club,tennis; basketball; volleyball; badminton; squash,Indoor,,,,,,,,,,,,,,,,,florham-park-sports-dome-event-center.sportsgrounds.us.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://florham-park-sports-dome-event-center.sportsgrounds.us.com/,Playwright,https://florham-park-sports-dome-event-center.sportsgrounds.us.com,https://florham-park-sports-dome-event-center.sportsgrounds.us.com/,
Fort Lee Racquet Club,https://fortleeracquetclub.com/,Fort Lee,NJ,Racquet / Tennis Club,tennis; squash,Indoor,,,,,,,,(201) 461-6212,,,,,,,,,fortleeracquetclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://fortleeracquetclub.com/ | https://fortleeracquetclub.com/about-us/ | https://fortleeracquetclub.com/contact-us/ | https://fortleeracquetclub.com/services/,Playwright,https://fortleeracquetclub.com,https://fortleeracquetclub.com/,
FPSD,https://www.indoorsportsandevents.com/,Florham Park,NJ,School,basketball; volleyball; futsal,Indoor,7,"ered Air 1/4 field 35yds x 60yds 1/2 field 60yds x 70yds full field 120yds x 70yds sports court: 7,000 sq. ft. Courts for basketball, volleyball, futsal, and all court sports 2 exterior do",158000,"er is home to top sports clubs, coaches, and trainers. With the ability to grow, we are a 158,000 square foot indoor sports complex located on a main road in Florham Park, New Jersey. We are one of t",,,,(973) 457-2152,customerservice@indoorsportsandevents.com,,,,,,,,indoorsportsandevents.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.indoorsportsandevents.com/ | https://www.indoorsportsandevents.com/about | https://www.indoorsportsandevents.com/programs | https://www.indoorsportsandevents.com/rentals | https://www.indoorsportsandevents.com/contact,Playwright,https://indoorsportsandevents.com,https://www.indoorsportsandevents.com/,
Franklin Lakes Racquet Club,https://www.franklinlakesracquetclub.com/,Franklin Lakes,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,,,,(201) 891-7111,,,,,,,,,franklinlakesracquetclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Third-party email removed (not on facility domain).,https://www.franklinlakesracquetclub.com/ | https://www.franklinlakesracquetclub.com/about | https://www.franklinlakesracquetclub.com/programs | https://www.franklinlakesracquetclub.com/contact,Playwright,https://franklinlakesracquetclub.com,https://www.franklinlakesracquetclub.com/,
Futsal - Montclair United Soccer Club,https://www.montclairsoccer.com/,Montclair,NJ,School,futsal,Indoor,,,,,,,,(973) 783-6872,help@montclairsoccer.com,,,,,,,,montclairsoccer.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.montclairsoccer.com/ | https://www.montclairsoccer.com/Default.aspx,Playwright,https://montclairsoccer.com,https://www.montclairsoccer.com/,
Futsal 201 League,https://futsal201.com/,Saddle River,NJ,School,futsal,Indoor,,,,,,,,,,info@futsal201.com,,,,,,,futsal201.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://futsal201.com/ | https://futsal201.com/contact/,Playwright,https://futsal201.com,https://futsal201.com/,
gardenstatetennis,https://www.gardenstatetennis.com/,,NJ,College / University,pickleball; tennis,Indoor,,,,,John,Costanzo,Owner,(908) 226-9300,,,john@gardenstatetennis.com,john.costanzo@gardenstatetennis.com,johncostanzo@gardenstatetennis.com,jcostanzo@gardenstatetennis.com,j.costanzo@gardenstatetennis.com,johnc@gardenstatetennis.com,gardenstatetennis.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: phone. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.gardenstatetennis.com/ | https://www.gardenstatetennis.com/our-facility | https://www.gardenstatetennis.com/pro-staff | https://www.gardenstatetennis.com/about-staff | https://www.gardenstatetennis.com/admin-staff | https://www.gardenstatetennis.com/summer-programs | https://www.gardenstatetennis.com/court-rates,Playwright,https://gardenstatetennis.com,https://www.gardenstatetennis.com/,
Ginas Tennis World,https://ginastennisworld.com/,Berkeley Heights,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,,,,(908) 464-9591,ginastennisworld@gmail.com,,,,,,,,ginastennisworld.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://ginastennisworld.com/ | https://ginastennisworld.com/develop-tennis-skills/fall-junior-programs/ | https://ginastennisworld.com/develop-tennis-skills/winter-junior-programs/ | https://ginastennisworld.com/develop-tennis-skills/spring-jr-programs/ | https://ginastennisworld.com/improve-your-game/fall-adult-programs/ | https://ginastennisworld.com/improve-your-game/spring-adult-programs/,Playwright,https://ginastennisworld.com,https://ginastennisworld.com/,
